ID,TN,TP,NANI,NAPI,Chla,discharge,Vol,eco_region,TSI,watershed_area,forest_pct,wetland_pct,Area,Depth,WRT,T
NLA12_MI-172,0.566,0.016,2373.3789741660166,4.110085862057588,2.712,1814.4,870000.0,8.0,2,3.0114,59.38434,2.121937,0.18,4.833333333333334,480.9,23.9
NLA12_MI-177,0.388,0.023,806.7090016691633,81.35716786128836,1.670857143,66873.6,4.7566e8,8.0,1,29.3922,53.977586,3.705064,24.88,19.118167202572348,7112.8,23.6
NLA12_MN-101,0.524,0.022,367.5290397792431,11.162549426856032,8.016,58320.00000000001,5.55e6,5.0,3,53.3438889244,49.046897,30.082659,1.42,3.9084507042253525,95.1,24.7333333333333
NLA12_MN-102,0.503,0.044,465.16079861514567,8.36061296043136,5.68,15465.599999999999,1.4e6,5.0,2,12.1596622971,47.512217,34.355102,0.36,3.888888888888889,90.4,20.905
NLA12_MN-103,0.688,0.036,774.5011873173687,55.01701568235412,13.984,2505.6,3.18e6,5.0,3,9.7074,43.630632,25.746338,0.91,3.4945054945054945,1269.0,24.0
NLA12_MN-104,0.659,0.038,3495.1838616198634,561.4189418024315,1.786666667,172.8,1.91e6,8.0,1,2.7684,28.381014,0.682705,0.57,3.350877192982457,11063.3,26.6666666666667
NLA12_MN-105,0.395,0.026,275.61973547798976,1.6445290655652032,5.536,950.4,520000.0,5.0,2,2.709,56.112957,23.72093,0.14,3.714285714285714,542.5,22.1
NLA12_MN-107,4.063,0.098,4302.231657435273,316.2997191912575,41.76,47174.4,1.106e7,8.0,4,118.50076718,2.850915,1.701132,2.1,5.266666666666666,234.4,20.3
NLA12_MN-108,0.395,0.021,500.93234428710457,42.4594225207022,3.52,10281.6,4.92e6,5.0,2,17.208,79.15795,1.589958,0.91,5.406593406593407,478.7,21.1666666666667
NLA12_MN-109,1.055,0.025,353.591667623179,1.7185303779821581,4.149333333,53395.2,1.14e6,5.0,2,1.9574080101,57.773689,17.433303,0.37,3.081081081081081,21.4,22.0666666666667
NLA12_MN-110,0.791,0.04,731.6098700834008,55.01701568220297,12.16,3628.8,3.13e6,5.0,3,52.8104327042,32.862378,26.478057,1.43,2.188811188811189,861.9,26.8333333333333
NLA12_MN-111,0.679,0.02,9735.928695057724,1991.4470086462175,2.688,3283.2,2.94e6,8.0,2,4.374,9.753086,6.234568,0.63,4.666666666666667,895.3,24.0733333333333
NLA12_MN-112,2.894,0.159,5864.646709536437,461.75625744413514,92.8,20995.2,3.65e6,8.0,4,12.5953578232,3.736782,13.618176,1.78,2.0505617977528092,173.6,23.8333333333333
NLA12_MN-113,3.844,0.236,3686.2940364697033,186.75427756935926,203.4,604.8000000000001,900000.0,9.0,4,10.5624052048,1.073803,4.397477,0.31,2.903225806451613,1494.6,26.2333333333333
NLA12_MN-114,3.006,0.159,7207.701503070072,2232.6301915576905,115.7333333,1209.6000000000001,1.84e6,8.0,4,2.241,18.393574,11.445784,0.57,3.2280701754385968,1519.4,22.0
NLA12_MN-115,0.544,0.056,3486.040143390776,561.4189418018278,3.464,864.0,900000.0,8.0,2,3.2832,37.5,2.76864,0.28,3.214285714285714,1041.1,25.07
NLA12_MN-116,1.026,0.03,7813.40278379655,1447.3727153534537,26.24,5616.0,2.68e6,8.0,3,12.5167435181,1.797139,5.988067,0.82,3.2682926829268295,477.5,27.9
NLA12_MN-118,4.9,0.524,4339.326369653245,-139.13695580054696,122.4,144374.4,2.26e6,8.0,4,2.37618139801,5.528209,4.922378,0.74,3.054054054054054,15.7,23.7
NLA12_MN-120,0.734,0.046,2405.095456406571,348.1015618890239,25.76,13478.4,3.008e7,5.0,3,87.4935524803,69.800005,8.854756,6.99,4.303290414878397,2231.4,14.05
NLA12_MN-121,1.453,0.054,7148.590600825459,2208.4142797123973,18.5,59011.200000000004,1.356e7,8.0,3,101.207380531,8.727858,3.306182,3.62,3.7458563535911598,229.8,25.05
NLA12_MN-122,0.791,0.038,4407.0432234925365,141.0412623043943,3.424,14947.199999999999,2.187e7,8.0,2,49.8123,7.15486,3.575623,4.67,4.683083511777302,1463.1,22.06
NLA12_MN-127,1.994,0.11,3445.776982119372,561.41894180192,40.8,604.8000000000001,220000.0,9.0,4,3.24,0.416667,19.944444,0.13,1.6923076923076923,365.9,21.55
NLA12_MN-130,0.558,0.031,377.6974158914553,8.360612960439825,7.536,3024.0000000000005,1.39e6,5.0,3,4.33697071838,71.627232,16.313823,0.26,5.346153846153846,461.0,20.6666666666667
NLA12_MN-132,0.976,0.038,6605.729561792229,1739.738765344023,5.245714286,5270.4,1.68e6,8.0,2,11.9961,23.287568,7.044789,0.49,3.428571428571429,318.2,22.4066666666667
NLA12_MN-137,4.638,0.272,2319.8354542313723,348.10156188864164,107.2,777.5999999999999,100000.0,9.0,4,1.2195,0.0,4.723247,0.12,0.8333333333333334,125.8,16.9
NLA12_MN-145,0.688,0.028,3938.098095867061,526.6368060118165,3.008,1987.2,2.24e6,8.0,2,7.9092,39.599454,4.688211,0.47,4.76595744680851,1125.6,23.4766666666667
NLA12_MN-147,0.744,0.045,799.1439994344537,25.684838548604226,10.22857143,777.5999999999999,380000.0,5.0,3,0.8748,20.679012,14.403292,0.16,2.375,490.4,27.3
NLA12_MN-152,1.756,0.132,3105.6910122279796,156.15417264431449,59.6,6307.2,980000.0,8.0,4,4.1661,1.922661,0.928926,0.36,2.7222222222222223,155.8,22.4333333333333
NLA12_MN-157,2.049,0.086,3445.1883362330345,561.4189418022007,50.4,518.4,1.46e6,8.0,4,1.5948,27.765237,0.902934,0.37,3.945945945945946,2818.3,26.33
NLA12_MN-158,4.363,0.425,4002.26889056856,266.81986247691304,97.6,864.0,420000.0,9.0,4,4.8483,6.181548,10.562465,0.19,2.210526315789474,489.8,20.375
NLA12_MN-163,1.268,0.107,2847.245946027242,225.32611120986076,68.16,14601.6,4.63e6,8.0,4,30.6517183319,24.168918,11.000822,1.53,3.026143790849673,317.1,22.4666666666667
NLA12_MN-167,1.58,0.172,7189.687297777878,2232.63019156472,48.8,21427.2,1.684e7,9.0,4,6.7761,7.012884,4.861203,4.47,3.767337807606264,786.0,
NLA12_MN-170,0.396,0.032,353.41360985836644,1.7185303779824774,5.512,2505.6,3.99e6,5.0,2,3.50892456207,69.29982,6.9505,0.77,5.181818181818182,1593.7,20.9
NLA12_MN-180,1.401,0.04,2484.65545572976,21.267140331184066,18.32,1987.2,4.78e6,8.0,3,5.8149,23.0924,1.810866,1.21,3.950413223140496,2404.3,22.6133333333333
NLA12_MN-181,0.941,0.049,916.9715329958682,88.22992429879906,2.592,2246.4,1.84e6,5.0,2,2.043,64.14097,4.537445,0.46,4.0,821.2,21.8
NLA12_MO-102,0.803,0.048,3194.8909371111217,814.015461540056,34.88,1.7420832e6,8.018e8,8.0,4,1634.26131863,38.643836,0.766159,30.58,26.219751471550033,460.3,21.8
NLA12_MO-103,0.689,0.034,4105.697587331813,425.53649120707564,17.12,346377.60000000003,3.041e8,9.0,3,543.201173918,9.676366,1.961882,24.66,12.331711273317113,877.9,
NLA12_MO-104,0.246,0.025,1416.019433501751,275.9870966360149,2.136,4752.0,1.87e6,8.0,2,5.22191769105,58.294574,2.773471,0.5,3.74,392.9,26.8666666666667
NLA12_MO-105,0.476,0.042,1198.4190423549594,181.48601216660546,20.0,29030.4,1.09e7,8.0,3,39.4123485992,51.126893,0.333387,1.06,10.283018867924529,375.5,25.4
NLA12_MO-107,0.985,0.2,8007.9230981055,688.1638310255731,65.2,9072.0,580000.0,8.0,4,2.898,18.447205,57.670807,0.34,1.7058823529411764,64.0,26.5
NLA12_MO-108,0.3,0.02,2141.883638406672,514.4384966287653,2.192,13046.4,590000.0,8.0,2,4.28368103943,34.06086,0.69255,0.2,2.95,45.1,29.3
NLA12_MO-109,1.068,0.067,8054.957797246332,920.5624132957664,29.4,11318.4,1.34e6,9.0,3,16.6944684128,19.402985,0.975268,0.35,3.8285714285714287,118.0,26.6333333333333
NLA12_MO-110,0.354,0.029,2345.6003988688626,337.11423511315127,6.656,4233.6,1.44e6,8.0,2,4.13598691406,75.826806,1.022628,0.29,4.9655172413793105,339.7,25.9333333333333
NLA12_MO-115,0.674,0.05,3043.6854220994255,258.8050029824256,18.08,1728.0,510000.0,9.0,3,2.3697,9.304975,0.455754,0.17,3.0,298.0,29.0
NLA12_MS-101,1.041,0.124,1004.9257054125096,25.97049165839071,49.6,1209.6000000000001,1.91e6,8.0,4,25.2738,28.163949,21.604587,0.66,2.8939393939393936,1580.3,30.635
NLA12_MS-102,0.521,0.036,1297.641126863532,366.77448683069184,0.0,4752.0,1.43e6,8.0,1,3.35355023803,85.354078,0.992489,0.34,4.205882352941176,300.7,27.86
NLA12_MS-104,1.316,0.129,3978.3086354177285,-220.1755836759487,34.08,8121.6,1.45e6,8.0,4,2.6442,0.306331,43.975494,0.56,2.589285714285714,179.1,28.62
NLA12_MS-105,0.296,0.021,1659.742281594927,412.19118695121495,9.696,27820.8,7.96e6,8.0,3,11.5083,36.55275,0.758583,1.87,4.256684491978609,286.0,30.1
NLA12_MS-106,0.439,0.033,1459.5243348941885,59.300713877927144,25.76,9.079084799999999e6,3.7202e9,8.0,3,3922.06547659,43.858011,7.591411,118.58,31.37291280148423,409.8,
NLA12_MS-107,0.554,0.212,2262.038437011051,71.99739880319737,25.6,5.8235328e6,1.7069e9,8.0,3,2594.46905873,24.985578,7.626823,39.42,43.30035514967021,293.1,24.8933333333333
NLA12_MS-113,0.27,0.02,1516.2468171814123,58.17900177610693,3.552,8553.6,2.54e6,8.0,2,4.2795,51.209253,1.303891,0.56,4.535714285714286,296.7,31.12
NLA12_MS-116,0.396,0.022,1201.9536696989708,13.490827114256629,3.944,1987.2,670000.0,8.0,2,1.1664,48.533951,0.385802,0.17,3.941176470588235,335.4,31.7633333333333
NLA12_MT-102,0.168,0.021,340.33757240952247,18.359050064725867,0.884571429,22464.0,1.06e7,6.0,1,76.4995568596,66.918054,1.851874,1.25,8.48,471.8,20.8142857142857
NLA12_MT-103,1.599,0.339,498.84525317432895,83.03051126937743,3.296,7948.8,1.65e6,9.0,2,91.4247794483,0.004922,0.527657,0.61,2.7049180327868854,208.1,17.225
NLA12_MT-104,0.216,0.029,195.83623941356336,20.698657724972275,0.637333333,104457.6,4.91e7,9.0,1,278.155617188,19.163154,0.641986,5.47,8.976234003656307,470.0,13.4
NLA12_MT-105,0.083,0.02,167.83202820380828,1.8078827220874603,1.014,148694.4,5.03e6,6.0,1,124.038061108,21.119373,0.060212,0.71,7.084507042253521,33.8,16.475
NLA12_MT-106,0.166,0.011,1022.1588770174195,152.7550235739929,0.464,4147.2,5.76e7,9.0,1,14.1111,0.0,3.34205,6.02,9.56810631229236,13888.9,21.3333333333333
NLA12_MT-107,1.62,0.042,1167.3334206584227,140.01487194284672,6.616,1641.6,1.25e6,9.0,2,22.5390026527,51.49373,0.087867,0.36,3.4722222222222223,760.1,21.225
NLA12_MT-108,2.068,1.344,212.43248185840503,5.994869534468705,8.56,1209.6000000000001,440000.0,9.0,3,14.2182,0.0,5.399418,0.17,2.5882352941176467,367.0,21.9
NLA12_MT-109,0.574,0.043,73.53412274061805,-1.0922751215643416,5.237333333,4752.0,9.77e7,9.0,2,92.064897369,0.0,0.908202,14.01,6.973590292648109,20559.8,17.66
NLA12_MT-111,0.069,0.016,364.3294502754433,18.347445930001808,1.134,379382.4,4.5533e8,6.0,1,310.053062611,77.56878,2.60579,13.06,34.864471669218986,1200.2,16.2
NLA12_MT-113,0.098,0.017,1018.2054946892737,152.75502357408251,0.60020141,189475.2,5.68e6,9.0,1,5.70246622353,0.0,8.854167,1.68,3.380952380952381,30.0,12.9
NLA12_MT-118,1.453,1.378,56.598641060687555,-1.0922751215646613,13.28,432.0,2.0899999999999998e6,9.0,3,128.457,0.014713,0.432985,0.5,4.17999999999998,4848.0,17.285
NLA12_MT-124,0.041,0.016,138.9961085818681,-14.54439037695459,0.742,31104.0,2.45e7,6.0,1,78.7424974331,79.853928,0.0,1.23,19.91869918699187,787.7,17.65
NLA12_MT-126,3.195,0.355,923.0231975147169,132.49639285987078,1.572,2246.4,630000.0,9.0,1,19.7451,0.031907,0.186882,0.18,3.5,282.4,21.225
NLA12_MT-136,0.113,0.01,371.75142174566133,16.363585146497197,0.684,165542.4,1.7556e8,6.0,1,139.98621618,45.834003,0.004501,6.89,25.480406386066765,1060.5,16.9333333333333
NLA12_MT-140,0.029,0.008,427.21718856602075,30.055957293678542,0.338,604.8000000000001,1.4e6,6.0,1,0.994708863831,57.36224,0.0,0.16,8.75,2316.9,15.925
NLA12_MT-143,1.314,0.029,199.60198319090523,32.637181345924276,0.63,864.0,740000.0,9.0,1,1.9593,0.0,0.643087,0.27,2.7407407407407405,857.6,19.45
NLA12_MT-144,0.601,0.091,-157.43842552372735,-36.78697623715243,5.0,1555.1999999999998,3.69e6,9.0,2,26.59715056,4.257047,1.81043,0.97,3.804123711340206,2373.6,18.175
NLA12_MT-154,13.413,3.436,874.4169293179887,121.72129959539353,35.77142857,36633.6,1.81e6,9.0,4,6.9957,0.0,1.762511,0.6,3.016666666666667,49.4,16.07
NLA12_MT-156,0.16,0.028,-38.13970833085966,-27.290810884424115,1.346666667,94348.8,1.75e7,9.0,1,186.822005497,45.801336,0.175848,0.73,23.972602739726028,185.5,20.0666666666667
NLA12_MT-160,0.93,0.074,369.058937796708,55.832819411584815,30.312,94435.2,1.85e6,9.0,4,84.0788313595,4.392699,0.050319,0.68,2.7205882352941178,19.5,21.1666666666667
NLA12_MT-161,0.604,0.065,350.52627993602266,28.792154399819154,5.32,7257.6,5.61e6,9.0,2,19.2042,0.0,0.215578,2.04,2.75,773.4,19.3
NLA12_MT-162,0.083,0.008,559.9173358343114,119.70814339184996,1.624,18230.399999999998,2.0499999999999998e6,6.0,1,20.0596019554,10.08705,0.0,0.25,8.19999999999996,112.6,12.0433333333333
NLA12_MT-164,0.901,0.01,296.8002152852097,18.359050064744046,1.782,31449.6,5.3e6,6.0,1,9.1458,56.406219,0.236174,0.82,6.463414634146342,168.4,19.2142857142857
NLA12_MT-177,1.353,0.046,328.54215103112665,28.79215439983315,2.197333333,3628.8,400000.0,9.0,2,43.3353558231,0.17444,0.612618,0.15,2.666666666666667,110.8,16.1
NLA12_NC-103,0.114,0.011,3295.114784453662,1052.8962285347889,3.12,28512.0,2.14e6,8.0,2,32.9008744995,50.456759,8.383021,0.57,3.754385964912281,75.1,25.7
NLA12_NC-104,0.65,0.036,2003.6109655477485,446.8734675324208,7.52,151891.2,6.68e6,8.0,3,11.3492902588,0.578952,64.136728,3.72,1.7956989247311825,44.0,
NLA12_NC-105,0.041,0.015,649.9528732210671,58.32305453792807,0.864,576633.6,1.554e8,8.0,1,235.72135838,94.565093,0.083996,4.94,31.45748987854251,269.5,23.5333333333333
NLA12_NC-108,0.094,0.026,1210.2604904818934,244.91919743085745,2.034285714,128217.6,3.68e6,8.0,2,59.3952482758,96.290516,0.0,0.54,6.814814814814814,28.7,20.8
NLA12_NC-109,0.115,0.012,753.7837675739792,49.905878359504975,2.05,6393.599999999999,1.7e6,8.0,2,2.8521,53.613127,0.0,0.31,5.483870967741936,265.5,23.6333333333333
NLA12_NC-114,0.878,0.116,4647.445542428562,787.4804243915803,56.26666667,23846.4,440000.0,8.0,4,21.9597685181,11.688791,0.589971,0.12,3.666666666666667,18.4,25.6
NLA12_NC-127,0.294,0.019,2633.0787235682833,985.051572106656,7.725714286,4147.2,690000.0,8.0,3,5.06523262939,29.573713,3.143872,0.2,3.45,165.5,29.95
NLA12_NC-134,0.756,0.045,4407.424613768118,1002.7501551441409,25.44,520387.19999999995,5.403e7,8.0,3,410.403116437,42.259288,7.812969,8.95,6.036871508379889,103.8,27.9
NLA12_ND-101,1.553,0.414,5298.9686907242685,255.0246931150474,13.44,4838.400000000001,7.38e6,9.0,3,24.1515,1.091858,4.620831,2.44,3.0245901639344264,1524.5,21.3
NLA12_ND-102,2.75,0.254,3282.584901361919,244.50809523641055,59.2,2764.8,2.37e6,9.0,4,11.0466,0.464396,7.397752,1.57,1.5095541401273884,856.3,22.2125
NLA12_ND-103,2.085,0.088,1772.777402330123,239.51398735691401,19.15,5702.400000000001,4.81e6,9.0,3,0.6489,0.0,1.10957,2.55,1.8862745098039218,844.2,23.6666666666667
NLA12_ND-104,2.408,0.274,2405.4864016195534,336.5668052443379,41.4,5184.0,1.29e6,9.0,4,43.7301,0.347815,9.508325,0.39,3.3076923076923075,248.5,18.0
NLA12_ND-106,1.615,0.089,1660.200808752636,152.118965756909,13.2,107136.0,1.042e7,9.0,3,602.910123404,0.333634,4.6449,5.0,2.084,97.2,24.0
NLA12_ND-107,3.125,0.099,1978.8185948650248,48.97569859762109,19.48,950.4,440000.0,9.0,3,1.7757,0.0,0.0,0.2,2.2,459.1,23.95
NLA12_ND-110,1.956,0.203,2580.199789062099,370.14560275508165,6.8,10281.6,1.07e6,9.0,2,13.8654,0.376477,4.718941,0.44,2.4318181818181817,103.6,16.675
NLA12_ND-112,1.9,0.147,2185.063281184839,274.48911780793065,3.28,34041.6,4.747e7,9.0,2,277.686,0.021067,4.686913,18.39,2.581294181620446,1394.6,14.3766666666667
NLA12_ND-114,1.564,0.153,1796.888770002183,239.51398735795715,17.28,20476.8,1.716e7,9.0,3,494.308341747,0.016568,3.963266,5.36,3.2014925373134324,837.8,26.5
NLA12_ND-118,2.715,0.23,2445.5466421125675,300.1405071623765,1.76,259.2,1.51e6,9.0,1,14.5854,0.055535,3.369123,0.51,2.9607843137254903,5841.0,19.05
NLA12_ND-119,2.508,0.84,2237.5199323644065,237.016804213319,11.64,345.6,1.8e6,9.0,3,2.7171,0.0,1.954289,0.67,2.6865671641791042,5222.8,21.375
NLA12_ND-131,1.14,0.036,2247.198006225211,404.248342663615,2.917333333,986169.6,5.304e8,9.0,2,4440.12467287,0.291155,1.109646,10.41,50.951008645533136,537.8,22.9433333333333
NLA12_ND-134,2.336,0.302,1971.870151427528,48.97569859767327,24.4,172.8,4.1900000000000005e6,9.0,3,13.4321891144,0.134039,0.482541,1.87,2.2406417112299466,24249.2,25.075
NLA12_ND-139,2.668,0.131,2586.62061455009,370.14560275435537,2.732,518.4,430000.0,9.0,2,3.4767,0.750712,11.623091,0.18,2.388888888888889,822.2,15.5
NLA12_ND-149,6.2,1.254,3458.4324396217353,52.57824314141703,164.0,172.8,1.05e6,9.0,4,1.5615,0.0,2.017291,0.33,3.1818181818181817,6092.8,25.3666666666667
NLA12_ND-151,3.125,0.272,2253.6858144481685,356.60403629228597,48.96,10281.6,1.9e6,9.0,4,14.0697,0.0,3.761274,1.44,1.3194444444444444,184.7,18.3625
NLA12_ND-155,5.119,3.59,1597.1369688558977,235.24955146301542,0.708,4665.6,3.94e6,9.0,1,18.0513,0.024929,3.141048,0.84,4.690476190476191,845.3,17.2
NLA12_ND-156,3.59,0.432,3461.598780705781,52.57824314144523,78.56,86.4,2.67e6,9.0,4,6.5259,0.79989,10.274445,1.31,2.0381679389312977,30870.2,20.46
NLA12_ND-160,1.981,0.053,1770.7274023331063,239.51398735737064,7.24,950.4,1.62e6,9.0,3,2.4759,0.0,1.78117,0.44,3.6818181818181817,1705.3,24.7
NLA12_ND-162,1.958,0.088,2604.5271699422165,260.1080291428827,21.6,1814.4,930000.0,9.0,3,4.1643,0.086449,14.674736,0.39,2.3846153846153846,514.4,17.01
NLA12_ND-164,3.373,0.333,3463.509668692752,52.57824314134291,39.4893617,86.4,1.9e6,9.0,4,2.2797,0.434268,2.881958,0.58,3.2758620689655173,21947.3,25.2666666666667
NLA12_ND-167,3.775,0.322,2403.662328857767,336.5668052451497,42.576,25747.199999999997,2.04e6,9.0,4,27.954,0.106246,7.050869,0.69,2.956521739130435,79.1,21.7
NLA12_ND-172,2.713,0.317,3451.6742206591352,52.57824314139191,82.24,1036.8,5.8e6,9.0,4,58.9824,0.050354,4.931641,1.54,3.766233766233766,5598.0,24.2925
NLA12_ND-173,1.831,0.081,2456.906971201241,300.1405071612538,3.004,777.5999999999999,3.05e6,9.0,2,44.9235,0.044075,1.722929,1.56,1.955128205128205,3924.6,19.2475
NLA12_ND-178,0.95,0.051,2494.1802036397853,292.3197637175226,2.868,172.8,1.13e6,9.0,2,2.511,42.616487,5.197133,0.31,3.645161290322581,6521.0,18.1833333333333
NLA12_ND-186,1.194,0.068,883.363035548648,101.94936079475667,8.16,7257.6,2.57e6,9.0,3,70.2718584755,0.008966,3.430211,0.85,3.023529411764706,354.0,18.9
NLA12_ND-187,1.054,0.043,2572.638128957425,370.1456027546678,7.04,11577.6,2.44e6,9.0,3,7.9245,0.238501,4.667802,0.76,3.210526315789474,210.7,20.125
NLA12_ND-193,3.333,0.279,3461.575629394676,52.578243141380426,81.12,518.4,2.41e6,9.0,4,23.2344,0.697242,4.547567,0.51,4.725490196078431,4646.8,
NLA12_ND-194,5.738,0.599,1319.4586951721637,191.08100313254295,460.8,70588.79999999999,7.89e7,9.0,4,882.801006942,0.216845,3.429651,16.72,4.7188995215311005,1117.7,24.9
NLA12_ND-196,1.901,0.091,1780.9756717378737,239.51398735715668,17.17333333,10886.4,5.16e6,9.0,3,30.5415,0.014734,3.524385,1.75,2.948571428571429,474.3,24.3
NLA12_ND-199,2.515,0.061,1638.4638697378862,130.16778607269572,6.24,172.8,430000.0,9.0,2,2.43,0.0,9.148149,0.18,2.388888888888889,2489.4,20.72
NLA12_NE-102,7.75,0.498,77.10444440782328,43.80987127000584,182.6666667,432.0,370000.0,9.0,4,2.1897,0.0,10.727497,0.22,1.6818181818181819,866.2,19.15
NLA12_NE-103,1.058,0.31,4058.5531393869196,790.3071076034638,32.26666667,58838.4,2.016e8,9.0,4,1709.23078212,0.164125,0.94099,4.96,40.64516129032258,3426.3,26.725
NLA12_NE-104,2.304,0.237,2349.63909760374,525.669750923812,157.86,434073.6,960000.0,9.0,4,1277.00594598,0.43112,2.91529,0.3,3.2,2.2,26.775
NLA12_NE-105,3.663,0.45,77.11436784106854,43.8098712698871,48.467,345.6,1.2e6,9.0,4,8.2971,0.0,9.664822,0.37,3.243243243243243,3463.1,20.0
NLA12_NE-106,1.905,0.144,6265.868438513072,591.9805261989372,98.66666667,9504.0,860000.0,9.0,4,20.3225407059,6.695302,0.115131,0.28,3.071428571428571,90.6,29.6
NLA12_NE-107,4.45,0.277,869.001915966312,267.3893110342485,28.0,1382.4,2.47e6,9.0,3,27.1512,0.0,15.602625,1.22,2.0245901639344264,1788.6,24.15
